name,lon,lat,extId
HAMBURG NEUWIEDENTHAL (Germany),9.8775,53.473052,008001046
NEUWIRTSHAUS(PORSCHEPLATZ) (Germany),9.152502,48.83389,008029440
NEUWILLER (PHARMACIE) (France),7.404999,48.824164,008764228
NEUWILLER R.BOUXWILLER (France),7.40917,48.822222,008764229
NEUSIEDL AM SEE (Austria),16.82333,47.955554,008103006
NEU-EDINGEN/FRIEDRICHSFELD (Germany),8.579997,49.448609,008014018
NIDDA (Germany),8.998885,50.411389,008011215
NIDDA-BAD SALZHAUSEN (Germany),8.980278,50.418886,008011222
NIDDA-BORSDORF(HESS) (Germany),8.97528,50.42944,008011395
NIDDA-HAEUSERHOF (Germany),8.93917,50.418608,008011224
NIDDA-OBER WIDDERSHEIM (Germany),8.933893,50.42944,008011394
NIDDATAL-ASSENHEIM (Germany),8.812503,50.305002,008011196
NIDDERAU (Germany),8.880282,50.230832,008011187
NIDDERAU-EICHEN (Germany),8.917497,50.255831,008011197
NIDDERAU-OSTHEIM (Germany),8.90333,50.219164,008011186
NIDDERAU-WINDECKEN (Germany),8.876111,50.224998,008011188
NIDDATAL-ASSENHEIM (Germany),8.812503,50.305002,008011196
NIDDA (Germany),8.998885,50.411389,008011215
NIDDA-HAEUSERHOF (Germany),8.93917,50.418608,008011224
NIDDA-BAD SALZHAUSEN (Germany),8.980278,50.418886,008011222
NIDDA-BORSDORF(HESS) (Germany),8.97528,50.42944,008011395
NIDDA-OBER WIDDERSHEIM (Germany),8.933893,50.42944,008011394
NIDDERAU (Germany),8.880282,50.230832,008011187
NIDDERAU-EICHEN (Germany),8.917497,50.255831,008011197
NIDDERAU-OSTHEIM (Germany),8.90333,50.219164,008011186
NIDDERAU-WINDECKEN (Germany),8.876111,50.224998,008011188
NIDDERAU (Germany),8.880282,50.230832,008011187
NIDDERAU-EICHEN (Germany),8.917497,50.255831,008011197
NIDDERAU-OSTHEIM (Germany),8.90333,50.219164,008011186
NIDDERAU-WINDECKEN (Germany),8.876111,50.224998,008011188
NIDDA-OBER WIDDERSHEIM (Germany),8.933893,50.42944,008011394
NIDDA (Germany),8.998885,50.411389,008011215
NIDDA-HAEUSERHOF (Germany),8.93917,50.418608,008011224
NIDDA-BAD SALZHAUSEN (Germany),8.980278,50.418886,008011222
NIDDA-BORSDORF(HESS) (Germany),8.97528,50.42944,008011395
NIDDATAL-ASSENHEIM (Germany),8.812503,50.305002,008011196
NIDEGGEN-BRUECK (Germany),6.465833,50.689722,008088415
NIDEGGEN-ABENDEN (Germany),6.476386,50.671115,008088401
DEGGENDORF HBF (Germany),12.949725,48.839446,008026450
NIDDA (Germany),8.998885,50.411389,008011215
HEGGEN (Germany),7.963337,51.153611,008008271
NIDZICA (Poland),20.413891,53.357226,005102220
EGGENSTEIN BF (Germany),8.398055,49.075556,008040601
NIDDERAU (Germany),8.880282,50.230832,008011187
EGGENBURG (Austria),15.815001,48.637782,008102433
NIDAU (Switzerland),7.242222,47.12389,008504461
NIEBLA (APD.) (Spain),-6.736947,37.333613,007143015
NIEBUELL (Germany),8.834446,54.78972,008001572
NIEBUELL NEG (Germany),8.833052,54.789442,008050701
NIEBUELL-DEEZBUELL (Germany),8.818337,54.776947,008050700
NIEDEROEBLARN (Austria),14.014722,47.482218,008101465
NIEL (Belgium),4.338329,51.111388,008824240
NIEVENHEIM (Germany),6.782226,51.123614,008015307
MAASBUELL(B NIEBUELL) (Germany),8.812782,54.754447,008050704
NIENBURG(WESER) (Germany),9.217782,52.645559,008013733
NIEFERN (Germany),8.769723,48.920277,008029498
NIEDERLAHNSTEIN (Germany),7.599445,50.316391,008019501
NIEDERSTEINBACH (Germany),9.14861,50.086663,008047706
NIEDERWINDEN (Germany),8.023052,48.139725,008014342
NEIDENSTEIN (Germany),8.890278,49.320279,008050809
NIEDERSCHELDEN (Germany),7.9655570000000004,50.839168,008019643
NIEDERSTETTEN (Germany),9.915003,49.403609,008029732
NIEDERDORFELDEN (Germany),8.809168,50.193059,008011192
NIEDERSCHMALKALDEN (Germany),10.375835,50.716663,008016151
NIEDERSCHELDEN NORD (Germany),7.970555,50.844166,008008251
NIEDERKREUZSTETTEN (Austria),16.479726,48.477774,008102873
NIEDERDRESSELNDORF (Germany),8.136388,50.721113,008088433
HASSELROTH-NIEDERMI. (Germany),9.109165,50.178614,008011074
NIEDERKORN (Luxembourg),5.893885,49.536946,008200922
NIEDERKREUZSTETTEN (Austria),16.479726,48.477774,008102873
NIEDERSELTERS (Germany),8.230002,50.332779,008011485
NIEDERZISSEN (Germany),7.223336,50.461109,008042208
NIEDERZIER-SELHAUSEN (Germany),6.439441,50.86583,008088419
NIEDERJOSBACH (Germany),8.351114,50.149722,008011115
NIEDERAU (Germany),13.56056,51.176389,008006227
NIEDERROTH (Germany),11.389998,48.320831,008020459
NIEDERNHAUSEN(TAUNUS) (Germany),8.312775,50.159718,008011116
NIEDERNSILL (Austria),12.646942,47.282226,008102155
NIEDERNAU BAD (Germany),8.896669,48.460829,008029323
NIEDERNDODELEBEN (Germany),11.502777,52.130001,008024028
NIEDERWALLUF (Germany),8.159167,50.036665,008011257
NIEDERWALGERN (Germany),8.708336,50.736664,008011683
NIEDERNFRITZ-ST.MARTIN (Austria),13.345556,47.421388,008101480
"NIEDERTEUFEN, STERNEN B. T. (Switzerland)",9.375003,47.389171,008574215
NIEDERMODERN/UBERACH (France),7.628057,48.846385,008721388
NIEDERJOSBACH (Germany),8.351114,50.149722,008011115
NIEDER OLM (Germany),8.205003,49.905557,008019271
NIEDER- UND OBERURNEN (Switzerland),9.062502,47.122497,008503226
NIEDER OHMEN (Germany),9.034168,50.64528,008011271
NIEDER WOELLSTADT (Germany),8.767224,50.280282,008011156
NIEDER RAMSTADT-TR. (Germany),8.703329,49.832223,008011357
NIEDER FLOERSHEIM-DALSHEIM (Germany),8.204167,49.656943,008019327
NIEDERJOSBACH (Germany),8.351114,50.149722,008011115
NIEDERAU (Germany),13.56056,51.176389,008006227
NIEDERROTH (Germany),11.389998,48.320831,008020459
NIEDERMOHR (Germany),7.471663,49.458335,008019722
NIEDERSTETTEN (Germany),9.915003,49.403609,008029732
NIEDERKREUZSTETTEN (Austria),16.479726,48.477774,008102873
NIEDERSTEINBACH (Germany),9.14861,50.086663,008047706
NIEDERSTOTZINGEN (Germany),10.236385,48.5325,008029710
NIEDERSTINZEL PRINCI (France),7.031389,48.863609,008770355
NIEDERSPIER (Germany),10.848335,51.290004,008016443
NIEDERSELTERS (Germany),8.230002,50.332779,008011485
NIEDERSCHELDEN (Germany),7.9655570000000004,50.839168,008019643
NIEDERSPACHING (Austria),13.810002,48.32306,008151775
NIEDERSCHLAG (Germany),13.014448,50.463886,008006935
NIEDERSTOTZINGEN (Germany),10.236385,48.5325,008029710
NIEDERWILLINGEN (Germany),11.03861,50.77556,008016284
NIEDERWENINGEN (Switzerland),8.369721,47.511388,008503319
NIEDERWENINGEN DORF (Switzerland),8.381111,47.505833,008503318
NIEDERSTETTEN (Germany),9.915003,49.403609,008029732
NIEDERSTEINBACH (Germany),9.14861,50.086663,008047706
NIEDERSTINZEL PRINCI (France),7.031389,48.863609,008770355
NIEDERSPACHING (Austria),13.810002,48.32306,008151775
NIEDERWANGEN (Switzerland),7.376665,46.925831,008504105
NIEDERSPIER (Germany),10.848335,51.290004,008016443
NIEVENHEIM (Germany),6.782226,51.123614,008015307
NIEDERHEIMBACH (Germany),7.805558,50.036108,008019036
NIEDERZEUZHEIM (Germany),8.039718,50.468336,008011541
NIEDER FLOERSHEIM-DALSHEIM (Germany),8.204167,49.656943,008019327
RIEHEN NIEDERHOLZ (Germany),7.633334,47.569441,008087021
NIEDERWEIMAR (Germany),8.733614,50.756665,008005389
NEHEIM-HUESTEN (Germany),7.969998,51.438056,008008201
NIEL (Belgium),4.338329,51.111388,008824240
FRIEDRICHSFELD(NIEDERRHEIN) (Germany),6.645554,51.62861,008010273
KEMPEN(NIEDERRHEIN) (Germany),6.425552,51.3675,008015030
NIEMCE (Poland),22.646389,51.362781,005105070
NIEMBERG (Germany),12.100002,51.551941,008023125
NIEMOJKI (Poland),22.700558,52.25861,005103974
BOBIGNY NORMANDIE NIEMEN (France),2.436391,48.912501,008798651
NIEL (Belgium),4.338329,51.111388,008824240
DABROWA NIEMODLINSKA (Poland),17.751943,50.6925,005106067
NIENBURG(WESER) (Germany),9.217782,52.645559,008013733
NIEVENHEIM (Germany),6.782226,51.123614,008015307
NIEFERN (Germany),8.769723,48.920277,008029498
TULOWICE NIEMODLINSKIE (Poland),17.649169,50.598059,005105676
NIENBURG(WESER) (Germany),9.217782,52.645559,008013733
NIENBURG(SAALE) (Germany),11.761666,51.838058,008024404
ORANIENBURG (S) (Germany),13.249165,52.75361,008085782
ORANIENBURG (Germany),13.249722,52.75361,008003575
BERLIN ORANIENBURGER STRASSE (Germany),13.393055,52.525275,008003056
SCHOENFLIESS(B ORANIENBURG) (Germany),13.339444,52.665003,008085786
OSTERNIENBURG (Germany),12.03056,51.783611,008024191
ROTTENBURG-B.NIEDERN (Germany),8.896669,48.460829,008029323
NIENBERGE-HAEGER (Germany),7.56222,52.021942,008021147
VIENENBURG (Germany),10.562226,51.954999,008013368
NIENBURG(WESER) (Germany),9.217782,52.645559,008013733
NIENBURG(SAALE) (Germany),11.761666,51.838058,008024404
ORANIENBURG (S) (Germany),13.249165,52.75361,008085782
ORANIENBURG (Germany),13.249722,52.75361,008003575
OSTERNIENBURG (Germany),12.03056,51.783611,008024191
BERLIN ORANIENBURGER STRASSE (Germany),13.393055,52.525275,008003056
SCHOENFLIESS(B ORANIENBURG) (Germany),13.339444,52.665003,008085786
ROTTENBURG-B.NIEDERN (Germany),8.896669,48.460829,008029323
NIENBERGE-HAEGER (Germany),7.56222,52.021942,008021147
FRESENBURG (Germany),10.390559,53.8425,008047224
NIERSTEIN (Germany),8.342781,49.871947,008019060
NIEDERSTEINBACH (Germany),9.14861,50.086663,008047706
NIEDERSTETTEN (Germany),9.915003,49.403609,008029732
NIEDERLAHNSTEIN (Germany),7.599445,50.316391,008019501
WIESBADEN-SCHIERSTEIN (Germany),8.194719,50.047497,008011013
ERSTEIN (France),7.638053,48.422778,008721414
ST.MICHAEL IN OBERSTEIERMARK (Austria),15.009163,47.34667,008101650
NIEDERSPIER (Germany),10.848335,51.290004,008016443
IDAR-OBERSTEIN (Germany),7.321112,49.699444,008025279
NIEDERSTOTZINGEN (Germany),10.236385,48.5325,008029710
NIESKY (Germany),14.831941,51.298607,008091353
NIESZAWA WAGANIEC (Poland),18.870003,52.803059,005102153
NIEDERWIESA (Germany),13.022781,50.862504,008006375
NIEL (Belgium),4.338329,51.111388,008824240
CESKY TESIN (CZESKI CIESZYN) (Czech Republic),18.62306,49.743608,005433234
NIEVENHEIM (Germany),6.782226,51.123614,008015307
NIENBURG(WESER) (Germany),9.217782,52.645559,008013733
NIEFERN (Germany),8.769723,48.920277,008029498
NIEUL (France),1.175277,45.926671,008759241
NIEPPE (France),2.82806,50.696941,008728715
NITTEL (Germany),6.440834,49.654165,008025190
NITTEDAL (Norway),10.864722,60.058055,007600606
BERLIN-WITTENAU (WILHELMSRUHER DAMM) (Germany),13.334446,52.596946,008033477
ESCHENAU(MITTELFR) (Germany),11.198609,49.575276,008022221
GETTENAU-BINGENHEIM (Germany),8.885837,50.379163,008011398
KNITTELFELD (Austria),14.837775,47.215275,008103612
WITTENBERGE (Germany),11.762781,53.00306,008027317
LUTHERSTADT WITTENBERG HBF (Germany),12.662223,51.867777,008023141
CHEMNITZ MITTE (Germany),12.912501,50.826664,008006627
GOLLING-ABTENAU (Austria),13.164163,47.600552,008101128
NORDEN (Germany),7.218886,53.58833,008021109
NORDEN-NORDDEICH MO. (Germany),7.158892,53.62444,008021706
NORDEN-NORDDEICH (Germany),7.160834,53.621671,008021453
NORDENDORF (Germany),10.837224,48.59333,008002062
NORDENHAM (Germany),8.487498,53.483893,008013849
Nordhavn (Denmark),12.590274,55.705559,008650653
Nordhavn (Denmark),12.590274,55.705559,008651653
NORDERNEY (Germany),7.164169,53.697774,008021454
Varde Nord (Denmark),8.500281,55.631111,008600213
NORDERSTEDT-FRIEDRICHSGABE (Germany),9.988885,53.728885,008059306
NORDENHAM (Germany),8.487498,53.483893,008013849
NORDEN (Germany),7.218886,53.58833,008021109
NORDEN-NORDDEICH (Germany),7.160834,53.621671,008021453
NORDENDORF (Germany),10.837224,48.59333,008002062
NORDEN-NORDDEICH MO. (Germany),7.158892,53.62444,008021706
Nordhavn (Denmark),12.590274,55.705559,008650653
Nordhavn (Denmark),12.590274,55.705559,008651653
NORDERNEY (Germany),7.164169,53.697774,008021454
Varde Nord (Denmark),8.500281,55.631111,008600213
NORDERSTEDT MITTE (Germany),9.992499,53.707779,008059303
NORDERNEY (Germany),7.164169,53.697774,008021454
NORDERSTEDT QUICKBORNER STRASSE (Germany),9.989721,53.734441,008059307
NORDERSTEDT MITTE (Germany),9.992499,53.707779,008059303
NORDERSTEDT-FRIEDRICHSGABE (Germany),9.988885,53.728885,008059306
NORDERSTEDT-HASLOHFURTH (Germany),9.986665,53.744446,008059308
NORDERSTEDT-MEESCHENSEE (Germany),9.979725,53.754163,008059309
NORDERSTEDT-MOORBEKHALLE (Germany),9.991663,53.717226,008059304
NORDEN (Germany),7.218886,53.58833,008021109
NORDEN-NORDDEICH (Germany),7.160834,53.621671,008021453
NORDENHAM (Germany),8.487498,53.483893,008013849
NORDERSTEDT MITTE (Germany),9.992499,53.707779,008059303
NORDERSTEDT-FRIEDRICHSGABE (Germany),9.988885,53.728885,008059306
NORDERSTEDT-HASLOHFURTH (Germany),9.986665,53.744446,008059308
NORDERSTEDT-MEESCHENSEE (Germany),9.979725,53.754163,008059309
NORDERSTEDT-MOORBEKHALLE (Germany),9.991663,53.717226,008059304
NORDERSTEDT QUICKBORNER STRASSE (Germany),9.989721,53.734441,008059307
NORDHASTEDT (Germany),9.183614,54.168332,008046176
FOERDERSTEDT (Germany),11.633893,51.903608,008024240
NORDERNEY (Germany),7.164169,53.697774,008021454
BROISTEDT SALZG NORD (Germany),10.32083,52.196944,008013262
NORDHAUSEN (Germany),10.789168,51.493052,008016453
NORDHAUSEN-SALZA (Germany),10.773059,51.515004,008016456
NORDHAUSEN NORD (Germany),10.788332,51.493888,008059820
NORDHAUSEN-ALTENTOR (Germany),10.778893,51.508055,008059819
NORDHAUSEN-KRIMDERODE (Germany),10.773886,51.529171,008059818
WITZENHAUSEN NORD (Germany),9.863054,51.35167,008005493
SACHSENHAUSEN(NORDB) (Germany),13.251943,52.772226,008003576
Nordhavn (Denmark),12.590274,55.705559,008650653
Nordhavn (Denmark),12.590274,55.705559,008651653
NORDHASTEDT (Germany),9.183614,54.168332,008046176
NORDHOLZ (Germany),8.621392,53.778614,008001596
Nordhavn (Denmark),12.590274,55.705559,008650653
Nordhavn (Denmark),12.590274,55.705559,008651653
NORDHAUSEN (Germany),10.789168,51.493052,008016453
NORDHASTEDT (Germany),9.183614,54.168332,008046176
NORDHAUSEN-SALZA (Germany),10.773059,51.515004,008016456
NORDHEIM(WUERTT) (Germany),9.148888,49.109446,008029625
NORDHAUSEN NORD (Germany),10.788332,51.493888,008059820
NORDHAUSEN-ALTENTOR (Germany),10.778893,51.508055,008059819
NORDHAUSEN-KRIMDERODE (Germany),10.773886,51.529171,008059818
NOERDLINGEN (Germany),10.497774,48.850835,008002015
RIEDLINGEN (Germany),9.485004,48.149721,008029246
FRANKFURT-SINDLINGEN (Germany),8.512218,50.087499,008011106
WENDLINGEN(NECKAR) (Germany),9.373052,48.673055,008029285
DREIEICH-SPRENDLINGEN (Germany),8.688614,50.01528,008011287
SPRENDLINGEN(RHEINHESS) (Germany),7.981666,49.858885,008019223
SOLINGEN HBF (Germany),7.00417,51.160829,008008182
BOEBLINGEN (Germany),9.004171,48.68778,008029383
TUTTLINGEN (Germany),8.798615,47.980553,008029429
"NEUWIESENREBEN, ETTLINGEN (Germany)",8.400554,48.95306,008011553
NORTHEIM(HAN) (Germany),9.986665,51.703058,008013056
NORTHFLEET (United Kingdom),0.325553,51.44389,007051200
NORTH CAMP (United Kingdom),-0.729725,51.273329,007056360
NORTHAMPTON (United Kingdom),-0.906112,52.234168,007010690
NORTHALLERTON (United Kingdom),-1.440278,54.330003,007079960
NORTHFIELD (United Kingdom),-1.963333,52.405278,007011110
NORTHWICH (United Kingdom),-2.494721,53.259163,007023260
NORTH QUEENSFERRY (United Kingdom),-3.393885,56.010554,007091890
NORTH SHEEN (United Kingdom),-0.283887,51.462498,007056010
NORTH DULWICH (United Kingdom),-0.085558,51.452223,007054290
NORTORF (Germany),9.852501,54.166669,008001405
NORTON BRIDGE STATION DRIVE (United Kingdom),-2.19085,52.868663,007098580
NORTHALLERTON (United Kingdom),-1.440278,54.330003,007079960
NORF (Germany),6.731671,51.160281,008015306
NORTKERQUE (France),2.023337,50.882775,008728729
NORTHEIM(HAN) (Germany),9.986665,51.703058,008013056
KINGS NORTON (United Kingdom),-1.9325,52.410833,007011090
NORTHFLEET (United Kingdom),0.325553,51.44389,007051200
NORT SUR ERDRE (France),-1.503328,47.441668,008748159
NORTH CAMP (United Kingdom),-0.729725,51.273329,007056360
NOSSENTIN (Germany),12.452226,53.521666,008047347
NOSSEGEM (Belgium),4.505834,50.883053,008811247
HUNDERFOSSEN (Norway),10.438607,61.224442,007600729
NEUHOF(B ZOSSEN) (Germany),13.479442,52.139718,008004362
POSSENHOFEN (Germany),11.306389,47.961946,008020324
ZOSSEN (Germany),13.438613,52.218886,008003396
NOSOWKO (Poland),16.053053,54.093335,005100392
NOSICE (Slovakia),18.355002,49.128889,005617735
VESTFOSSEN (Norway),9.866947,59.734444,007601627
KJOSFOSSEN (Norway),7.135556,60.746944,007622358
NUERNBERG (Germany),11.078054,49.450829,008022198
NUERNBERG HBF (Germany),11.083052,49.445552,008022193
NUERNBERG-REHHOF (Germany),11.154723,49.462497,008022589
NUERNBERG-DUERRENHOF (Germany),11.097498,49.44806,008022587
NUERNBERG-LAUFAMHOLZ (Germany),11.168612,49.463054,008022333
NUERNBERG-MOEGELDORF (Germany),11.133886,49.459171,008022208
NUERNBERG OSTRING (Germany),11.119998,49.454164,008022588
NUERNBERG-STEINBUEHL (Germany),11.068337,49.442775,008032702
NUERNBERG OST (Germany),11.120834,49.46389,008022209
STARNBERG (Germany),11.343614,47.995835,008020325
NUERTINGEN (Germany),9.342777,48.628055,008029299
HERBERTINGEN (Germany),9.414726,48.063892,008029249
GAMMERTINGEN (Germany),9.217224,48.250832,008047019
HERBERTINGEN ORT (Germany),9.433334,48.053609,008029184
MERTINGEN BAHNHOF (Germany),10.825278,48.66056,008002056
GOETTINGEN (Germany),9.926114,51.536947,008013051
WETTINGEN (Switzerland),8.31611,47.459718,008503505
RATINGEN OST (Germany),6.863615,51.295281,008008130
BIETINGEN (Germany),8.73889,47.743885,008014491
HALTINGEN (Germany),7.61167,47.612778,008014424
OBERASBACH (Germany),10.96417,49.41667,008022714
OBERASCHACH (Austria),13.758053,48.279166,008151779
OBERGRIESBACH (Germany),11.079726,48.421942,008002136
OBERSULM-WILLSBACH (Germany),9.358885,49.142499,008029657
OBERDIESSBACH (Switzerland),7.618052,46.839445,008508255
OBERWEISSBACH-DEESBACH (Germany),11.135558,50.579164,008016306
OBERHARMERSBACH DORF (Germany),8.124442,48.373337,008041206
OBERHARMERSBACH-RIERSBACH (Germany),8.140559,48.380834,008041207
OBERACHERN (Germany),8.079163,48.614167,008040103
OBERAACH (Switzerland),9.270836,47.553332,008506108
OBERHART B.SATTLEDT (Austria),14.039164,48.103885,008101804
OBERHARMERSBACH DORF (Germany),8.124442,48.373337,008041206
OBERHARMERSBACH-RIERSBACH (Germany),8.140559,48.380834,008041207
OBERHOFEN-ZELL AM MOOS (Austria),13.301392,47.958889,008101103
OBERHAUSEN HBF (Germany),6.851668,51.475002,008010263
BROCKEN (Germany),10.618607,51.799441,008059824
OBERHAID (Germany),10.817502,49.929442,008022409
OBERHACHING-FURTH (Germany),11.593334,48.035558,008020250
OBERHACHING-DEISENHOFEN (Germany),11.583608,48.019441,008020279
OBERHAUSEN-HOLTEN (Germany),6.81056,51.534448,008010268
OBERHAUSEN HBF (Germany),6.851668,51.475002,008010263
OBERHAUSEN-HOLTEN (Germany),6.81056,51.534448,008010268
OBERHAUSEN-OSTERFELD SUED (Germany),6.885,51.500001,008010022
OBERHAUSEN-STERKRADE (Germany),6.843614,51.512226,008010266
OBERHAUSEN(WESTERW) (Germany),7.95833,50.449998,008019658
AUGSBURG-OBERHAUSEN (Germany),10.872498,48.380834,008002069
OBERTSHAUSEN(KR OF) (Germany),8.853332,50.072226,008011163
EHRINGSHAUSEN(OBERHESS) (Germany),9.101947,50.708887,008005611
OBEROTTMARSHAUSEN (Germany),10.85194,48.235829,008002182
OBERHACHING-DEISENHOFEN (Germany),11.583608,48.019441,008020279
OBERHOFEN-ZELL AM MOOS (Austria),13.301392,47.958889,008101103
OBERHOFEN IM INNTAL (Austria),11.095835,47.30194,008101193
OBERHAUSEN HBF (Germany),6.851668,51.475002,008010263
OBERHOLZ (Germany),12.506386,51.257778,008047986
OSTERHOFEN(OBERBAY) (Germany),11.986945,47.687775,008053415
OBERHACHING-DEISENHOFEN (Germany),11.583608,48.019441,008020279
OBERTRAUN-KOPPENBRUELLERHOEHLE (Austria),13.720281,47.564443,008101943
OBERHAID (Germany),10.817502,49.929442,008022409
